Trial,Colony,Day,TrialOnDay,DOW,Date,Hatch,Age,Host,Species,Country,Hu,Time,N,N_Alt,N_Hu,Flow,Notes,Population
56,CK6-15,5,5,W,24-Apr,30-Mar,12,Moja,GP,Kenya,L,12:20,100,36,26,0.63,,KAK
57,VK11-20,5,12,W,24-Apr,30-Mar,12,Moja,GP,Kenya,L,2:50,100,17,31,0.64,,VMB
58,VK30-40,5,8,W,24-Apr,30-Mar,12,Moja,GP,Kenya,L,1:30,84,43,16,0.64,,SYL
59,LV23-40,5,4,W,24-Apr,30-Mar,12,Moja,GP,Gabon,L,12:00,100,17,8,0.64,,LPV
60,LBV2,5,10,W,24-Apr,30-Mar,12,Moja,GP,Gabon,L,2:10,100,24,20,0.64,,LBV
61,FCV2,5,7,W,24-Apr,30-Mar,12,Moja,GP,Gabon,L,1:10,100,42,12,0.64,,FCV
62,LF,5,1,W,24-Apr,30-Mar,12,Moja,GP,Gabon,L,10:05,79,5,0,0.64,"one scared into trap while taking down trial, didn't count",LPF
63,VR11-20B,6,7,Th,26-Apr,30-Mar,13,Mbili,GP,Gabon,R,1:00,100,36,12,0.62,,RAB
64,FR11-20B,6,10,Th,26-Apr,30-Mar,13,Mbili,GP,Gabon,R,2:00,100,38,20,0.61,,KBO
65,VA11-20,6,2,Th,26-Apr,30-Mar,13,Mbili,GP,Gabon,R,11:00,66,14,0,0.62,,GND
66,FA21-40,6,13,Th,26-Apr,30-Mar,13,Mbili,GP,Gabon,R,4:50,100,14,22,0.61,,ABK
67,VS11-20,6,5,Th,26-Apr,30-Mar,13,Mbili,GP,Kenya,R,12:00,98,22,1,0.61,,KWA
68,FS11-40,6,6,Th,26-Apr,30-Mar,13,Mbili,GP,Kenya,R,12:30,100,42,16,0.61,,SHM
69,CK6-15,6,4,Th,26-Apr,30-Mar,13,Mbili,GP,Kenya,R,11:40,100,41,20,0.62,,KAK
70,VK11-20,6,8,Th,26-Apr,30-Mar,13,Mbili,GP,Kenya,R,1:20,100,32,3,0.61,"Fan slipped, replaced",VMB
71,VK30-40,6,3,Th,26-Apr,30-Mar,13,Mbili,GP,Kenya,R,11:20,84,20,7,0.62,,SYL
72,LV23-40,6,9,Th,26-Apr,30-Mar,13,Mbili,GP,Kenya,R,1:40,100,11,5,0.61,,LPV
73,LBV2,6,1,Th,26-Apr,30-Mar,13,Mbili,GP,Kenya,R,10:40,98,36,5,0.62,,LBV
